"","Conifers","Deciduous","Mixed.forest","Open.canopy"
"hAnamin",2,0,0,0
"hAnepin",0,3,0,1
"hBaratt",38,1,4,0
"hBarbar",0,5,9,2
"hBaztric",5,0,1,0
"hBaztril",24,8,2,0
"hBletri",22,26,24,2
"hCalint",1,0,0,0
"hCalmue",15,1,2,1
"hCalnee",18,0,0,2
"hCalneo",0,0,1,0
"hCalsph",2,0,0,0
"hCepbic",0,0,0,1
"hCepcat",1,0,1,0
"hCepcon",9,0,4,1
"hCepela",1,0,0,0
"hCeplun",72,35,5,22
"hCeprub",5,2,0,4
"hChicoa",79,44,0,3
"hChipro",243,175,287,114
"hClaflu",4,0,0,0
"hConsal",1,0,0,0
"hFruinf",0,0,1,0
"hFruoak",3,2,28,3
"hGeogra",27,81,64,48
"hGyminf",1,0,0,0
"hJamaut",138,205,230,92
"hJunlei",0,1,1,0
"hLeprep",65,10,15,11
"hLopgut",6,9,4,2
"hLopven",13,4,0,3
"hMyltay",0,0,0,1
"hNowcur",21,35,53,18
"hOncvir",0,5,7,5
"hPeleph",1,0,0,1
"hPticil",38,41,63,29
"hPtipul",1039,271,306,229
"hRadcom",0,1,4,0
"hRiclat",4,0,1,1
"hScaapi",1,0,3,0
"hScairr",1,0,0,0
"hScamuc",0,1,0,0
"hSchlax",0,0,0,1
"hTriexsecti",2,0,0,0
