"","Conifers","Deciduous","Mixed.forest","Open.canopy"
"mAmbser",18,33,16,26
"mAtralt",1,0,1,0
"mAulpal",21,25,10,15
"mBraact",0,193,81,87
"mBraacum",0,18,18,4
"mBracam",261,593,422,386
"mBracur",24,71,144,32
"mBraery",0,1,0,0
"mBrafal",1,0,0,1
"mBrapop",1,1,0,0
"mBraref",59,253,70,123
"mBrarut",0,2,3,2
"mBrasta",21,92,134,73
"mBravel",4,2,1,1
"mBrepra",1,0,0,0
"mBrorec",14,8,10,2
"mBrycreb",1,0,0,1
"mBrynova",0,1,0,0
"mBrypse",0,0,0,1
"mBryrecu",0,1,0,0
"mCalcor",3,3,0,0
"mCalhal",251,315,280,237
"mCallind",48,6,0,7
"mCalric",0,0,0,1
"mCamchr",0,97,67,53
"mCamhall",2,0,0,0
"mCamhis",10,91,42,26
"mCerpur",6,1,0,0
"mClidend",1,0,0,0
"mDicfla",118,38,16,32
"mDicful",4,1,2,0
"mDicfus",476,144,175,126
"mDichet",20,3,7,1
"mDiclei",0,1,0,0
"mDicmaj",2,1,2,0
"mDicmon",98,67,140,59
"mDicont",32,6,0,7
"mDicpol",220,45,67,71
"mDicsco",131,52,44,25
"mDicund",7,4,0,3
"mDicvir",0,2,0,0
"mDreadu",1,0,0,0
"mEurpul",0,4,21,3
"mHedcil",0,1,0,0
"mHerstr",2,0,0,0
"mHertur",8,1,12,6
"mHomtri",0,0,2,0
"mHygeug",0,1,0,0
"mHygvar",14,16,1,3
"mHylspl",38,6,27,10
"mHylumb",0,0,1,0
"mHypcup",24,46,2,13
"mHypfau",0,0,2,3
"mHypimp",13,28,38,5
"mHyppal",261,155,77,63
"mKinpra",1,0,0,0
"mMnimarg",2,0,0,0
"mMnispi",1,15,18,3
"mNyhobt",0,0,1,0
"mNyhobtu",1,0,0,0
"mOncwah",1,0,1,0
"mOrtohi",0,0,0,1
"mOrtspe",2,4,1,1
"mPlacav",2,1,21,19
"mPlacus",1,82,117,34
"mPladen",17,24,8,3
"mPladru",1,10,17,4
"mPlaell",6,18,10,28
"mPlalae",141,5,27,2
"mPlalat",238,77,0,15
"mPlamed",0,0,1,0
"mPlarep",4,5,12,4
"mPlesch",816,176,315,270
"mPohnut",99,34,22,46
"mPolcom",43,8,1,8
"mPolfor",1,0,0,0
"mPoljun",12,5,3,10
"mPollon",0,0,1,1
"mPolpal",2,0,3,0
"mPolpil",2,0,0,1
"mPolstr",12,4,0,11
"mPsedis",4,0,0,0
"mPsenerv",0,0,0,1
"mPserad",0,0,0,1
"mPticricas",86,54,108,39
"mPylint",12,24,33,3
"mPylpol",8,52,29,1
"mPylselw",9,1,0,3
"mRacmicr",0,2,0,0
"mRhipse",1,1,0,1
"mRhipun",0,2,13,4
"mRhyser",1,2,0,0
"mRhysub",3,0,0,0
"mRhytri",1,11,25,6
"mSanunc",354,369,355,147
"mSchagas",0,1,0,0
"mSplamp",1,0,0,0
"mTetpel",116,40,38,46
"mThudeli",0,1,0,0
"mThurec",12,2,0,1
"mTomnit",4,0,0,0
"mTorhumi",0,1,0,0
"mTreamb",1,0,0,0
"mUlocoa",4,4,0,0
"mUlocri",1,0,0,0
"mWarflu",1,0,2,1
