"","Conifers","Deciduous","Mixed.forest","Open.canopy"
"mAmbser",20,7,0,25
"mAtralt",1,0,0,3
"mAtrcrispum",1,0,0,2
"mAtrten",1,0,0,2
"mAulpal",434,4,0,535
"mBliacu",1,0,0,0
"mBraact",0,2,0,0
"mBraacum",1,0,1,1
"mBracam",149,84,18,84
"mBracur",185,1,75,108
"mBraery",12,7,2,6
"mBrafal",0,1,0,0
"mBralae",0,0,0,1
"mBraplu",0,0,0,1
"mBrapop",3,0,2,2
"mBraref",65,48,56,26
"mBrariv",3,1,0,0
"mBrarut",23,2,14,12
"mBrasta",104,1,31,52
"mBravel",20,2,0,9
"mBrepra",7,0,0,7
"mBrorec",18,0,1,4
"mBrycae",0,0,0,5
"mBrycap",0,0,0,2
"mBrygra",2,0,0,0
"mBrypallescens",0,0,0,1
"mBrypse",3,2,0,4
"mCalcor",5,1,0,2
"mCalhal",32,20,30,16
"mCallind",8,0,0,0
"mCalric",7,0,0,1
"mCamchr",10,0,0,15
"mCamhis",30,21,0,11
"mCampro",5,0,0,14
"mCamste",8,1,0,9
"mCerpur",88,1,3,285
"mCinsty",0,0,0,3
"mClidend",1,0,0,4
"mCrafalc",1,0,0,2
"mCtesub",0,0,2,0
"mDicacu",6,0,0,24
"mDicfla",83,10,6,38
"mDicfra",2,0,0,0
"mDicful",1,0,0,3
"mDicfus",2065,35,49,275
"mDicgro",0,0,0,2
"mDichet",17,2,7,70
"mDiclei",1,0,0,0
"mDicmaj",3,2,0,0
"mDicmon",92,7,76,13
"mDicont",128,2,0,98
"mDicpell",0,0,0,1
"mDicpol",412,7,4,391
"mDicsco",67,3,45,37
"mDicspu",4,0,0,1
"mDicund",178,0,0,290
"mDitlin",0,0,0,1
"mDitpus",1,0,0,0
"mDreadu",15,0,0,5
"mDrepol",0,0,0,1
"mEurpul",1,0,0,0
"mFisbry",1,0,0,0
"mFisosm",1,0,0,4
"mHamver",1,0,0,0
"mHelbla",0,0,0,3
"mHerstr",2,0,0,0
"mHertur",125,1,7,37
"mHomtri",1,0,0,0
"mHygeug",0,0,0,1
"mHygvar",19,3,0,19
"mHylspl",317,5,0,48
"mHylumb",0,0,20,0
"mHypcup",8,12,0,3
"mHypcur",5,0,0,1
"mHypfau",2,0,0,1
"mHypimp",24,0,26,21
"mHyppal",179,12,51,56
"mHyprec",1,0,0,0
"mHypvau",0,0,0,1
"mIsomue",7,0,0,3
"mIsopul",2,0,0,1
"mKinpra",3,0,3,0
"mLeppyr",0,0,0,2
"mLeprip",7,0,0,4
"mMeetri",1,0,0,0
"mMnimarg",7,4,0,0
"mMnispi",23,0,1,6
"mNyhobtu",0,2,0,0
"mOncwah",56,0,4,13
"mOrtanom",0,1,0,0
"mOrtspe",4,5,0,1
"mOxyhia",0,0,7,0
"mPalsqu",2,0,0,0
"mParlon",0,0,4,0
"mPlacav",122,1,6,31
"mPlacus",17,23,0,6
"mPladen",89,6,13,66
"mPladru",6,15,0,4
"mPlaell",7,8,0,1
"mPlalae",479,12,47,100
"mPlalat",57,12,0,13
"mPlamed",21,0,0,6
"mPlarep",16,0,1,21
"mPlaros",0,0,0,1
"mPlasub",3,1,0,3
"mPlesch",3795,57,71,1903
"mPogden",0,0,1,11
"mPohcruda",4,0,1,0
"mPohelo",2,0,0,0
"mPohfil",0,0,0,3
"mPohnut",616,7,13,866
"mPohsph",274,0,0,512
"mPohwahl",1,0,0,0
"mPolalpi",1,0,0,0
"mPolcom",101,4,4,234
"mPolfor",0,0,0,1
"mPoljun",48,0,1,400
"mPollon",3,0,0,8
"mPolpal",8,0,1,2
"mPolpil",0,0,0,67
"mPolstr",94,2,0,755
"mPsecin",8,0,0,0
"mPseeleg",0,0,0,1
"mPserad",1,0,0,1
"mPticricas",1101,27,33,328
"mPylint",9,12,0,1
"mPylpol",2,1,0,0
"mPylselw",1,3,0,0
"mRacmicr",0,0,0,2
"mRhigra",0,0,0,1
"mRhipse",57,1,0,17
"mRhipun",21,0,0,5
"mRhoont",1,0,0,0
"mRhyser",2,0,0,2
"mRhysub",5,0,0,0
"mRhytri",10,4,0,3
"mSanunc",500,76,54,103
"mSarexa",13,0,0,18
"mSchpen",1,0,0,0
"mScorev",1,0,0,10
"mScosco",0,0,0,1
"mSplamp",2,0,0,0
"mStrstr",207,0,0,40
"mTetang",2,0,0,0
"mTetpel",404,2,20,100
"mThurec",4,0,0,2
"mTomfal",35,0,0,52
"mTomnit",15,0,0,13
"mTreamb",0,0,0,15
"mUlocoa",3,4,0,0
"mUlocri",13,0,0,3
"mWarflu",208,0,4,71
