"","Conifers","Deciduous","Mixed.forest","Open.canopy"
"sSphang",634,2,0,381
"sSphann",0,0,0,2
"sSphbal",0,0,0,6
"sSphcap",359,1,1,470
"sSphcen",5,0,0,4
"sSphcon",0,0,0,1
"sSphcus",8,0,0,8
"sSphfal",162,0,0,116
"sSphfle",1,0,0,2
"sSphfus",203,1,0,539
"sSphgir",324,0,0,43
"sSphiso",0,0,0,3
"sSphlin",1,0,0,5
"sSphmag",458,2,0,224
"sSphmaj",3,0,0,9
"sSphpal",0,0,0,2
"sSphpap",2,0,0,3
"sSphpla",0,0,0,3
"sSphpul",7,0,0,5
"sSphqui",32,0,0,23
"sSphrip",1,0,0,3
"sSphrub",55,0,0,114
"sSphrus",734,0,0,470
"sSphsqu",9,0,0,14
"sSphsubf",0,0,0,2
"sSphsubs",0,0,0,4
"sSphsubtile",36,0,0,12
"sSphtenellum",0,0,0,1
"sSphtenr2",8,0,0,29
"sSphven",7,0,0,3
"sSphwar",38,0,0,60
"sSphwul",43,0,0,24
