"","CodSite","lat","long","specie","NumIndiv","habitat"
"3911","390",48.482565,-79.419587,"mBraacum",1,"Open canopy"
"4302","390",48.482565,-79.419587,"mBraact",1,"Open canopy"
"4693","390",48.482565,-79.419587,"mBracam",2,"Open canopy"
"5084","390",48.482565,-79.419587,"mBracur",1,"Open canopy"
"6648","390",48.482565,-79.419587,"mBraref",1,"Open canopy"
"7430","390",48.482565,-79.419587,"mBrasta",4,"Open canopy"
"11340","390",48.482565,-79.419587,"mCalhal",4,"Open canopy"
"20333","390",48.482565,-79.419587,"mDicfus",1,"Open canopy"
"27371","390",48.482565,-79.419587,"mHertur",2,"Open canopy"
"30890","390",48.482565,-79.419587,"hJamaut",3,"Open canopy"
"44575","390",48.482565,-79.419587,"hPticil",1,"Open canopy"
"45357","390",48.482565,-79.419587,"hPtipul",2,"Open canopy"
"2348","391",48.482454,-79.419893,"hBarbar",1,"Open canopy"
"4303","391",48.482454,-79.419893,"mBraact",1,"Open canopy"
"4694","391",48.482454,-79.419893,"mBracam",5,"Open canopy"
"5085","391",48.482454,-79.419893,"mBracur",1,"Open canopy"
"6649","391",48.482454,-79.419893,"mBraref",2,"Open canopy"
"7431","391",48.482454,-79.419893,"mBrasta",2,"Open canopy"
"11341","391",48.482454,-79.419893,"mCalhal",1,"Open canopy"
"14860","391",48.482454,-79.419893,"mCamhis",1,"Open canopy"
"16815","391",48.482454,-79.419893,"hCeplun",1,"Open canopy"
"27372","391",48.482454,-79.419893,"mHertur",1,"Open canopy"
"31673","391",48.482454,-79.419893,"hLeprep",1,"Open canopy"
"37147","391",48.482454,-79.419893,"mPlacus",1,"Open canopy"
"38320","391",48.482454,-79.419893,"mPlaell",1,"Open canopy"
"45358","391",48.482454,-79.419893,"hPtipul",1,"Open canopy"
"50050","391",48.482454,-79.419893,"mSanunc",1,"Open canopy"
"3","392",48.482787,-79.420115,"mAmbser",2,"Open canopy"
"4304","392",48.482787,-79.420115,"mBraact",4,"Open canopy"
"4695","392",48.482787,-79.420115,"mBracam",2,"Open canopy"
"6650","392",48.482787,-79.420115,"mBraref",4,"Open canopy"
"11342","392",48.482787,-79.420115,"mCalhal",1,"Open canopy"
"14079","392",48.482787,-79.420115,"mCamchr",5,"Open canopy"
"25809","392",48.482787,-79.420115,"hGeogra",1,"Open canopy"
