"","CodSite","lat","long","specie","NumIndiv","habitat"
"4019","1",49.37536,-78.54903,"mAulpal",1,"Open canopy"
"14925","1",49.37536,-78.54903,"mBraref",1,"Open canopy"
"16073","1",49.37536,-78.54903,"mBrarut",1,"Open canopy"
"37885","1",49.37536,-78.54903,"mCerpur",1,"Open canopy"
"45347","1",49.37536,-78.54903,"mDicfus",1,"Open canopy"
"50513","1",49.37536,-78.54903,"mDicsco",1,"Open canopy"
"94137","1",49.37536,-78.54903,"mPlesch",1,"Open canopy"
"97007","1",49.37536,-78.54903,"mPohnut",1,"Open canopy"
"99303","1",49.37536,-78.54903,"mPolcom",1,"Open canopy"
"100451","1",49.37536,-78.54903,"mPoljun",1,"Open canopy"
"102747","1",49.37536,-78.54903,"mPolstr",1,"Open canopy"
"105617","1",49.37536,-78.54903,"mPticricas",1,"Open canopy"
"122837","1",49.37536,-78.54903,"sSphang",1,"Open canopy"
"124559","1",49.37536,-78.54903,"sSphcap",1,"Open canopy"
"128003","1",49.37536,-78.54903,"sSphfus",1,"Open canopy"
"128577","1",49.37536,-78.54903,"sSphgir",1,"Open canopy"
"130873","1",49.37536,-78.54903,"sSphmag",1,"Open canopy"
"136039","1",49.37536,-78.54903,"sSphrus",1,"Open canopy"
"140631","1",49.37536,-78.54903,"sSphwar",1,"Open canopy"
"141205","1",49.37536,-78.54903,"sSphwul",1,"Open canopy"
"4020","2",49.38706,-78.53313,"mAulpal",1,"Open canopy"
"11482","2",49.38706,-78.53313,"mBracur",1,"Open canopy"
"13204","2",49.38706,-78.53313,"mBralae",1,"Open canopy"
"16648","2",49.38706,-78.53313,"mBrasta",1,"Open canopy"
"18944","2",49.38706,-78.53313,"mBrycae",1,"Open canopy"
"22962","2",49.38706,-78.53313,"mCalhal",1,"Open canopy"
"37886","2",49.38706,-78.53313,"mCerpur",1,"Open canopy"
"40182","2",49.38706,-78.53313,"hChipro",1,"Open canopy"
"45348","2",49.38706,-78.53313,"mDicfus",1,"Open canopy"
"49940","2",49.38706,-78.53313,"mDicpol",1,"Open canopy"
"51662","2",49.38706,-78.53313,"mDicund",1,"Open canopy"
"62568","2",49.38706,-78.53313,"mHylspl",1,"Open canopy"
"64864","2",49.38706,-78.53313,"mHypimp",1,"Open canopy"
"79214","2",49.38706,-78.53313,"mMnispi",1,"Open canopy"
"88398","2",49.38706,-78.53313,"mPladen",1,"Open canopy"
"90120","2",49.38706,-78.53313,"mPlalae",1,"Open canopy"
"94138","2",49.38706,-78.53313,"mPlesch",1,"Open canopy"
"97008","2",49.38706,-78.53313,"mPohnut",1,"Open canopy"
"99304","2",49.38706,-78.53313,"mPolcom",1,"Open canopy"
"100452","2",49.38706,-78.53313,"mPoljun",1,"Open canopy"
"102748","2",49.38706,-78.53313,"mPolstr",1,"Open canopy"
"105044","2",49.38706,-78.53313,"hPticil",1,"Open canopy"
"105618","2",49.38706,-78.53313,"mPticricas",1,"Open canopy"
"106192","2",49.38706,-78.53313,"hPtipul",1,"Open canopy"
"110210","2",49.38706,-78.53313,"mRhipse",1,"Open canopy"
"115950","2",49.38706,-78.53313,"mSanunc",1,"Open canopy"
"124560","2",49.38706,-78.53313,"sSphcap",1,"Open canopy"
"134318","2",49.38706,-78.53313,"sSphqui",1,"Open canopy"
"136040","2",49.38706,-78.53313,"sSphrus",1,"Open canopy"
"143502","2",49.38706,-78.53313,"mTetpel",1,"Open canopy"
"11483","3",49.37538,-78.5505,"mBracur",1,"Open canopy"
"45349","3",49.37538,-78.5505,"mDicfus",1,"Open canopy"
"48793","3",49.37538,-78.5505,"mDicont",1,"Open canopy"
"49941","3",49.37538,-78.5505,"mDicpol",1,"Open canopy"
"50515","3",49.37538,-78.5505,"mDicsco",1,"Open canopy"
"94139","3",49.37538,-78.5505,"mPlesch",1,"Open canopy"
"100453","3",49.37538,-78.5505,"mPoljun",1,"Open canopy"
"102749","3",49.37538,-78.5505,"mPolstr",1,"Open canopy"
"105619","3",49.37538,-78.5505,"mPticricas",1,"Open canopy"
"106193","3",49.37538,-78.5505,"hPtipul",1,"Open canopy"
"128579","3",49.37538,-78.5505,"sSphgir",1,"Open canopy"
"132023","3",49.37538,-78.5505,"sSphpal",1,"Open canopy"
"142355","3",49.37538,-78.5505,"mStrstr",1,"Open canopy"
"37888","4",49.37827,-78.54176,"mCerpur",1,"Open canopy"
"43628","4",49.37827,-78.54176,"mDicfla",1,"Open canopy"
"46498","4",49.37827,-78.54176,"mDichet",1,"Open canopy"
"94140","4",49.37827,-78.54176,"mPlesch",1,"Open canopy"
"97010","4",49.37827,-78.54176,"mPohnut",1,"Open canopy"
"99306","4",49.37827,-78.54176,"mPolcom",1,"Open canopy"
"102750","4",49.37827,-78.54176,"mPolstr",1,"Open canopy"
"105046","4",49.37827,-78.54176,"hPticil",1,"Open canopy"
"105620","4",49.37827,-78.54176,"mPticricas",1,"Open canopy"
"124562","4",49.37827,-78.54176,"sSphcap",1,"Open canopy"
