,Species,No_Shared,Different_rarity,Dioicous,Monoicous,Both,PresentAsex,LargeSpore
1,hAnamic,1,0,1,0,0,1,0
2,hAnamin,0,1,1,0,0,1,0
3,hAnepin,0,0,1,0,0,0,0
4,hBaratt,0,0,1,0,0,1,0
5,hBarbar,0,1,1,0,0,0,0
6,hBarhat,1,0,1,0,0,1,0
7,hBarkun,1,0,1,0,0,1,0
8,hBarsude,1,0,1,0,0,1,0
9,hBaztric,0,1,1,0,0,0,0
10,hBaztril,0,1,1,0,0,1,0
11,hBletri,0,0,0,0,1,0,0
12,hCalint,0,1,0,1,0,1,0
13,hCalmue,0,0,0,1,0,1,0
14,hCalnee,0,0,0,1,0,1,0
15,hCalneo,0,1,0,1,0,0,0
16,hCalsph,0,1,0,1,0,1,0
17,hCalsue,1,0,1,0,0,1,0
18,hCepamb,1,0,0,1,0,1,0
19,hCepbic,0,1,0,1,0,1,0
20,hCepcat,0,0,1,0,0,1,0
21,hCepcon,0,0,0,1,0,1,0
22,hCepdiv,1,0,1,0,0,1,0
23,hCepela,0,1,0,1,0,1,0
24,hCepham,1,0,0,1,0,1,0
25,hCepleu,1,0,1,0,0,1,0
26,hCeploi,1,0,0,1,0,0,0
27,hCeplun,0,0,0,0,1,1,0
28,hCepmac,1,0,1,0,0,1,0
29,hCepple,1,0,0,1,0,1,0
30,hCeprub,0,1,0,1,0,1,0
31,hCepspi,1,0,0,1,0,1,0
32,hChicoa,0,0,0,1,0,0,0
33,hChipal,1,0,0,1,0,0,0
34,hChipro,0,0,0,1,0,1,0
35,hClaflu,0,1,1,0,0,1,0
36,hClafra,1,0,1,0,0,1,0
37,hConsal,1,0,1,0,0,0,1
38,hFruebo,1,0,1,0,0,1,0
39,hFruinf,1,0,0,1,0,0,0
40,hFruoak,0,0,0,1,0,0,1
41,hGeogra,0,0,0,1,0,0,0
42,hGyminf,0,1,1,0,0,0,0
43,hJamaut,0,0,1,0,0,0,0
44,hJungra,1,0,1,0,0,0,0
45,hJunlei,0,1,0,1,0,0,0
46,hKurpau,1,0,1,0,0,0,0
47,hLeirut,1,0,0,1,0,0,0
48,hLeprep,0,0,0,1,0,0,0
49,hLopasc,1,0,1,0,0,1,0
50,hLopbic,1,0,0,1,0,1,0
51,hLopgut,0,1,1,0,0,1,0
52,hLoplongid,1,0,1,0,0,1,0
53,hLopobt,1,0,1,0,0,1,0
54,hLopsil,1,0,1,0,0,1,0
55,hLopven,0,0,1,0,0,1,0
56,hMarpol,1,0,1,0,0,0,0
57,hMeshet,1,0,1,0,0,1,0
58,hMylano,1,0,1,0,0,0,0
59,hMyltay,0,1,1,0,0,0,0
60,hNowcur,0,0,0,0,1,1,0
61,hOdoden,1,0,1,0,0,1,0
62,hOncvir,1,0,0,1,0,0,0
63,hPallye,1,0,1,0,0,0,0
64,hPeleph,0,1,0,1,0,0,1
65,hPelnee,1,0,1,0,0,0,1
66,hPlapor,1,0,1,0,0,0,0
67,hPticil,0,0,1,0,0,0,1
68,hPtipul,0,0,1,0,0,0,1
69,hRadcom,0,0,0,1,0,0,1
70,hRiclat,0,1,0,1,0,0,0
71,hRicmult,1,0,0,1,0,0,0
72,hRicpal,1,0,1,0,0,1,0
73,hRicvitr,1,0,1,0,0,0,0
74,hScaapi,0,1,1,0,0,1,0
75,hScairr,0,1,1,0,0,1,0
76,hScamuc,0,0,1,0,0,1,0
77,hScanem,1,0,1,0,0,1,0
78,hScapalc,1,0,1,0,0,1,0
79,hScauli,1,0,1,0,0,0,0
80,hSchgra,1,0,1,0,0,1,0
81,hSchinc,1,0,1,0,0,1,0
82,hSchlax,0,1,1,0,0,1,0
83,hSphhel,1,0,1,0,0,1,0
84,hTriexsecta,1,0,1,0,0,1,0
85,hTriexsecti,0,1,1,0,0,1,0
86,hTriqui,1,0,1,0,0,0,0
87,mAmbser,0,0,0,1,0,0,0
88,mAtralt,0,0,0,0,1,0,0
89,mAtrcrispum,1,0,1,0,0,0,0
90,mAtrten,1,0,1,0,0,0,0
91,mAulpal,0,0,1,0,0,1,0
92,mBliacu,1,0,1,0,0,0,0
93,mBraact,0,1,0,1,0,0,0
94,mBraacum,0,1,1,0,0,0,0
95,mBracam,0,0,0,1,0,0,0
96,mBracur,0,0,0,1,0,0,0
97,mBraery,0,1,1,0,0,0,0
98,mBrafal,0,1,0,1,0,0,0
99,mBralae,1,0,1,0,0,0,0
100,mBraplu,1,0,0,1,0,0,0
101,mBrapop,0,0,0,1,0,0,0
102,mBraref,0,0,0,1,0,0,0
103,mBrariv,1,0,1,0,0,0,0
104,mBrarut,0,1,0,1,0,0,0
105,mBrasta,0,0,0,1,0,0,0
106,mBravel,0,1,0,1,0,0,0
107,mBrepra,0,1,1,0,0,0,0
108,mBrorec,0,0,1,0,0,0,0
